TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,days_since_last_transaction,hour_sin,hour_cos,week_sin,week_cos,month_sin,month_cos,transaction_hour,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student
212.14,1,0.023321956769055744,72,105,1,7225.06,6.998611111111111,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,17,0,1,0,0,0,1,0
149.25,1,0.023890784982935155,39,142,1,5677.52,84.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844387,-0.4999999999999998,16,1,0,0,0,1,0,0
438.04,1,0.02844141069397042,67,247,1,5358.95,16.088194444444444,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,18,1,0,0,0,0,1,0
93.22,1,0.027872582480091012,52,52,1,1014.63,8.013194444444444,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,17,0,0,1,0,0,1,0
411.72,1,0.01820250284414107,29,153,1,8539.86,57.00972222222222,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,18,0,1,0,1,0,0,0
516.47,0,0.027872582480091012,25,94,1,1305.06,100.96388888888889,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,17,1,0,0,0,0,0,1
91.38,1,0.02844141069397042,65,179,1,2402.58,0.004166666666666667,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844387,-0.4999999999999998,16,1,0,0,0,0,1,0
12.35,1,0.023321956769055744,25,22,1,1846.85,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.8660254037844386,0.5000000000000001,18,0,1,0,0,0,0,1
74.27,0,0.027303754266211604,59,148,1,13696.61,0.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,17,0,0,1,1,0,0,0
609.52,1,0.01820250284414107,78,169,1,3485.03,162.9375,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,16,1,0,0,0,0,1,0
126.29,1,0.023321956769055744,19,56,1,1122.35,98.07083333333334,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.4999999999999997,-0.8660254037844388,18,0,0,1,0,0,0,1
841.5,0,0.023890784982935155,25,287,1,352.31,14.005555555555556,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,-0.8660254037844387,16,0,1,0,0,0,0,1
486.61,0,0.02104664391353811,48,130,1,2006.69,70.89583333333333,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,16,1,0,0,0,1,0,0
189.65,1,0.027872582480091012,21,60,1,8457.09,224.0125,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-1.0,-1.8369701987210297e-16,16,1,0,0,0,0,0,1
207.65,1,0.022753128555176336,34,98,1,5143.8,28.035416666666666,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-1.0,-1.8369701987210297e-16,16,0,0,1,0,1,0,0
502.9,0,0.023321956769055744,26,141,1,341.24,21.006944444444443,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-1.0,-1.8369701987210297e-16,17,0,0,1,0,0,0,1
629.82,1,0.023321956769055744,68,159,1,6385.69,20.947222222222223,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.4999999999999997,-0.8660254037844388,16,1,0,0,0,0,1,0
46.75,1,0.023321956769055744,67,150,1,2840.43,46.010416666666664,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.4999999999999997,-0.8660254037844388,17,0,1,0,0,0,1,0
30.87,1,0.023321956769055744,33,295,1,14348.65,9.001388888888888,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,16,1,0,0,1,0,0,0
263.59,1,0.01763367463026166,71,16,1,6996.35,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,16,0,1,0,0,0,1,0
703.89,1,0.02502844141069397,46,62,1,3583.67,66.97708333333334,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,16,0,0,1,0,1,0,0
1416.69,1,0.02218430034129693,46,58,1,3740.73,3.9604166666666667,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,17,1,0,0,0,1,0,0
206.95,1,0.023890784982935155,22,31,1,1817.65,79.89722222222223,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,16,0,1,0,0,0,0,1
99.76,1,0.02104664391353811,26,131,1,416.89,40.93819444444444,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844385,-0.5000000000000004,16,0,1,0,0,0,0,1
777.92,1,0.023321956769055744,62,97,1,7061.58,70.09375,-1.0,-1.8369701987210297e-16,0.0,1.0,1.2246467991473532e-16,-1.0,18,0,1,0,1,0,0,0
83.43,1,0.02161547212741752,56,109,1,1870.16,3.9256944444444444,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,16,0,0,1,0,0,1,0
23.24,1,0.022753128555176336,68,129,1,13777.79,63.99236111111111,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,16,0,1,0,1,0,0,0
278.28,1,0.02844141069397042,28,26,1,1346.88,69.96944444444445,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001,16,0,1,0,0,0,0,1
1422.55,1,0.01820250284414107,79,165,1,5674.32,0.07291666666666667,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.4999999999999997,-0.8660254037844388,17,0,1,0,0,0,1,0
54.25,1,0.026734926052332197,68,37,1,14783.33,118.92361111111111,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.4999999999999997,-0.8660254037844388,16,0,0,1,1,0,0,0
155.53,1,0.01877133105802048,29,66,1,4008.05,25.00347222222222,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,17,1,0,0,0,1,0,0
356.56,1,0.02161547212741752,47,52,1,2485.73,139.9875,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844386,0.5000000000000001,17,0,0,1,0,1,0,0
241.21,1,0.023890784982935155,31,108,1,1220.86,4.020138888888889,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-1.0,-1.8369701987210297e-16,16,1,0,0,0,1,0,0
132.36,1,0.023321956769055744,28,160,1,319.65,10.963888888888889,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17,17,0,1,0,0,0,0,1
115.92,1,0.025597269624573378,53,57,1,3897.17,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,18,1,0,0,0,0,1,0
70.03,1,0.02218430034129693,63,49,1,7330.31,17.04722222222222,-1.0,-1.8369701987210297e-16,0.0,1.0,-2.4492935982947064e-16,1.0,18,0,1,0,0,0,1,0
48.78,0,0.019908987485779295,18,136,1,552.06,72.95069444444445,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,16,0,1,0,0,0,0,1
134.7,1,0.02957906712172924,50,106,1,8395.85,4.982638888888889,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844385,-0.5000000000000004,16,1,0,0,1,0,0,0
250.01,1,0.019908987485779295,62,88,1,1541.48,196.00972222222222,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,1,0,0,0,0,1,0
886.19,1,0.023321956769055744,61,69,1,7904.24,21.031944444444445,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,17,0,1,0,0,0,1,0
33.63,1,0.022753128555176336,63,76,1,4324.4,234.975,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,16,0,0,1,0,0,1,0
100.52,1,0.02502844141069397,50,110,1,453.39,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,17,1,0,0,0,1,0,0
153.4,1,0.023321956769055744,45,144,1,4657.7,3.9791666666666665,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,17,1,0,0,0,1,0,0
1225.5,0,0.02502844141069397,50,109,1,8611.17,165.9451388888889,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,0,0,1,1,0,0,0
199.84,1,0.01763367463026166,21,150,1,706.44,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,16,1,0,0,0,0,0,1
191.62,1,0.02844141069397042,63,51,1,1981.67,31.93611111111111,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,17,0,1,0,1,0,0,0
407.65,1,0.02502844141069397,25,263,1,273.78,97.05277777777778,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,17,1,0,0,0,0,0,1
344.97,1,0.023321956769055744,34,106,1,5577.94,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17,17,0,0,1,1,0,0,0
198.92,1,0.02161547212741752,36,100,1,2854.66,104.95694444444445,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001,16,0,0,1,0,1,0,0
305.0,1,0.02218430034129693,22,222,1,944.83,28.021527777777777,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,17,1,0,0,0,0,0,1
56.02,1,0.027303754266211604,27,142,1,3548.02,112.02291666666666,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.2246467991473532e-16,-1.0,17,0,0,1,0,0,0,1
258.21,1,0.02502844141069397,39,225,1,9562.41,24.023611111111112,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.5000000000000004,0.8660254037844384,17,0,0,1,1,0,0,0
58.23,1,0.02218430034129693,28,34,1,9189.76,55.02013888888889,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,17,0,0,1,0,0,0,1
717.36,0,0.023321956769055744,22,138,1,514.88,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,17,0,0,1,0,0,0,1
406.33,0,0.026166097838452786,59,103,1,4298.34,63.01111111111111,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001,16,0,1,0,0,1,0,0
459.25,1,0.026166097838452786,25,59,1,130.76,105.96666666666667,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,16,0,1,0,0,0,0,1
738.94,1,0.02844141069397042,41,173,1,13856.18,32.99861111111111,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844386,0.5000000000000001,18,0,1,0,1,0,0,0
261.14,1,0.02502844141069397,42,162,1,6100.08,59.09027777777778,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,-0.8660254037844387,18,1,0,0,0,1,0,0
114.98,1,0.023890784982935155,59,80,1,6144.68,64.99722222222222,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,16,0,0,1,0,0,1,0
73.88,1,0.027872582480091012,39,34,1,6474.41,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,16,0,0,1,1,0,0,0
199.09,1,0.026166097838452786,70,89,1,1658.52,3.963888888888889,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,16,0,0,1,1,0,0,0
590.57,1,0.02161547212741752,79,93,1,3224.6,22.957638888888887,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,16,1,0,0,0,0,1,0
45.9,1,0.022753128555176336,56,264,1,5698.25,64.01180555555555,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,18,0,1,0,0,1,0,0
414.64,1,0.023321956769055744,32,74,1,7253.22,32.015277777777776,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844387,-0.4999999999999998,16,0,1,0,1,0,0,0
20.28,1,0.026166097838452786,36,213,1,2047.83,36.05416666666667,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,17,0,0,1,0,1,0,0
349.34,0,0.022753128555176336,28,245,1,614.14,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,16,1,0,0,0,0,0,1
501.15,1,0.02218430034129693,47,208,1,8821.84,66.075,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844385,-0.5000000000000004,18,0,1,0,0,1,0,0
830.01,0,0.02161547212741752,66,96,1,4253.18,44.90902777777778,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,16,0,0,1,0,0,1,0
256.66,0,0.025597269624573378,54,137,1,1794.5,102.93819444444445,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.4999999999999997,-0.8660254037844388,17,0,0,1,0,0,1,0
788.84,1,0.02218430034129693,58,231,1,1913.73,20.022916666666667,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,17,0,0,1,0,0,1,0
11.46,0,0.022753128555176336,41,128,1,2356.71,32.97638888888889,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844386,0.5000000000000001,16,0,0,1,0,1,0,0
163.68,1,0.023321956769055744,41,292,1,10090.05,0.0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,16,0,1,0,1,0,0,0
23.38,1,0.027303754266211604,32,89,1,9968.49,98.10069444444444,-1.0,-1.8369701987210297e-16,0.0,1.0,-1.0,-1.8369701987210297e-16,18,0,1,0,0,1,0,0
64.92,1,0.023890784982935155,58,236,1,5481.76,21.09375,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,18,0,1,0,0,1,0,0
52.44,1,0.025597269624573378,27,87,1,3157.75,112.12013888888889,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,18,0,0,1,0,0,0,1
21.9,1,0.02218430034129693,28,30,1,1052.27,32.02291666666667,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.8660254037844387,-0.4999999999999998,17,1,0,0,0,0,0,1
634.86,1,0.02161547212741752,27,45,1,588.5,15.963194444444444,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,16,1,0,0,0,0,0,1
515.57,1,0.022753128555176336,27,56,1,9269.67,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,17,1,0,0,0,1,0,0
129.48,1,0.023890784982935155,31,179,1,7581.7,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844386,0.5000000000000001,16,1,0,0,0,1,0,0
230.3,1,0.023321956769055744,46,24,1,8356.88,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,16,0,0,1,0,1,0,0
389.7,0,0.023321956769055744,62,216,1,7125.15,10.921527777777778,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,16,0,1,0,1,0,0,0
186.6,1,0.01820250284414107,58,13,1,1508.72,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,16,0,0,1,1,0,0,0
85.58,1,0.02957906712172924,55,60,1,7794.84,48.04375,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,17,1,0,0,0,1,0,0
275.2,1,0.02161547212741752,54,81,1,1230.12,0.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,17,0,0,1,0,1,0,0
372.5,1,0.02218430034129693,22,211,1,3901.82,72.98680555555555,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844386,0.5000000000000001,18,1,0,0,0,0,0,1
584.41,1,0.02502844141069397,23,41,1,4475.22,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,16,1,0,0,0,0,0,1
542.75,0,0.02218430034129693,70,63,1,2224.08,128.05138888888888,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,18,0,1,0,0,0,1,0
26.92,1,0.022753128555176336,62,43,1,1674.94,3.0416666666666665,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,18,1,0,0,0,0,1,0
34.74,1,0.022753128555176336,56,24,1,6827.57,117.95486111111111,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1.2246467991473532e-16,-1.0,16,1,0,0,0,0,1,0
61.98,1,0.02502844141069397,49,44,1,5212.28,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,18,0,0,1,0,1,0,0
42.42,1,0.02104664391353811,21,102,1,490.57,22.975694444444443,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,17,0,0,1,0,0,0,1
408.62,0,0.02957906712172924,48,159,1,2498.48,6.055555555555555,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,-0.8660254037844387,17,0,0,1,0,1,0,0
224.22,1,0.023321956769055744,53,37,1,8400.87,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,0.8660254037844387,18,0,1,0,1,0,0,0
362.09,1,0.02161547212741752,32,31,1,6590.28,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844386,0.5000000000000001,16,0,1,0,0,1,0,0
54.61,1,0.02161547212741752,58,160,1,7135.64,12.990972222222222,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-2.4492935982947064e-16,1.0,16,1,0,0,0,1,0,0
1235.69,0,0.02104664391353811,20,118,1,420.25,22.946527777777778,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,16,0,1,0,0,0,0,1
474.77,0,0.022753128555176336,56,50,1,2158.59,69.95555555555555,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-2.4492935982947064e-16,1.0,16,0,0,1,0,1,0,0
537.86,1,0.019908987485779295,27,134,1,293.06,54.99444444444445,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,16,0,0,1,0,0,0,1
477.07,1,0.022753128555176336,27,278,1,6568.07,34.980555555555554,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,0,0,1,0,1,0,0
297.5,0,0.019908987485779295,73,80,1,6768.14,69.04583333333333,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17,17,0,1,0,0,0,1,0
416.37,1,0.022753128555176336,35,67,1,7936.91,23.000694444444445,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,16,0,0,1,0,1,0,0
512.95,1,0.022753128555176336,57,143,1,9584.52,62.958333333333336,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844386,0.5000000000000001,17,0,1,0,0,1,0,0
637.34,1,0.022753128555176336,51,278,1,5183.5,79.93541666666667,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,16,1,0,0,0,0,1,0
381.52,1,0.023890784982935155,36,79,1,5798.92,151.02569444444444,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,0,0,1,1,0,0,0
78.77,0,0.02502844141069397,48,50,1,6470.57,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,-0.8660254037844387,18,1,0,0,0,1,0,0
150.3,1,0.02502844141069397,41,204,1,14371.08,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,17,0,0,1,1,0,0,0
150.6,1,0.026166097838452786,69,59,1,3240.14,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.8660254037844387,-0.4999999999999998,17,1,0,0,0,0,1,0
81.15,1,0.026166097838452786,19,114,1,1595.26,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,16,1,0,0,0,0,0,1
251.4,1,0.026166097838452786,57,178,1,2561.67,55.955555555555556,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,16,1,0,0,0,0,1,0
317.12,1,0.02957906712172924,44,80,1,14409.74,2.997916666666667,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-2.4492935982947064e-16,1.0,16,0,1,0,1,0,0,0
24.86,1,0.02844141069397042,58,292,1,2591.65,6.961805555555555,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844386,0.5000000000000001,16,0,1,0,0,1,0,0
154.24,1,0.023321956769055744,61,82,1,6109.55,13.903472222222222,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,1,0,0,0,0,1,0
186.55,1,0.02844141069397042,48,288,1,224.65,49.97569444444444,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,16,0,1,0,0,1,0,0
151.14,1,0.027303754266211604,64,38,1,2156.54,10.000694444444445,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,16,0,0,1,0,0,1,0
83.39,1,0.023890784982935155,32,158,1,13182.11,20.971527777777776,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-1.0,-1.8369701987210297e-16,16,0,1,0,1,0,0,0
299.92,1,0.02502844141069397,27,122,1,1368.0,19.086111111111112,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844386,0.5000000000000001,18,1,0,0,0,0,0,1
671.73,1,0.01820250284414107,58,54,1,5211.88,59.99791666666667,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001,16,0,1,0,0,1,0,0
293.54,1,0.02104664391353811,40,45,1,2290.1,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,17,0,0,1,0,1,0,0
7.31,1,0.02502844141069397,78,282,1,5757.67,10.969444444444445,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1.2246467991473532e-16,-1.0,16,0,1,0,0,0,1,0
1427.71,1,0.02161547212741752,64,159,1,1729.26,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,17,0,1,0,1,0,0,0
153.08,1,0.023890784982935155,24,201,1,1292.21,17.009722222222223,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,1,0,0,0,0,0,1
365.43,1,0.019340159271899887,25,176,1,1073.51,24.009027777777778,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,16,1,0,0,0,0,0,1
233.24,1,0.02161547212741752,33,72,1,6939.23,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844387,-0.4999999999999998,16,1,0,0,0,1,0,0
75.15,1,0.020477815699658702,23,154,1,1092.92,3.0194444444444444,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-1.0,-1.8369701987210297e-16,17,1,0,0,0,0,0,1
451.68,1,0.020477815699658702,33,15,1,4381.54,34.08888888888889,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,18,0,0,1,0,1,0,0
